Id;Lat;Lon;Country;State;LGA;Ward;Population;NESP_ID;Branch_id;Customers;Renewable energy share;Generator capacity (kw);PV size(kW);Battery capacity (kWh);Demand;Electr_type_phase_1;Electr_type_phase_2;Electr_type_phase_3;Distance_m
38296;9.16748363589207;8.93804632233723;Nigeria;Plateau;'Qua''an Pan';BWALL;3513.929234;3629;261;663;70.6;178;188;392;240;none;mini-grid;intercon;9630
38297;9.22197042102697;8.95038674555311;Nigeria;Plateau;'Qua''an Pan';DOEMAK-KOPLONG;8520.152135;3630;261;1608;71.2;436;420;992;559;none;none;grid;3440
38298;9.5737838394401;8.94428803268119;Nigeria;Plateau;Mikang;BALTEP;2804.385831;3631;299;529;86.2;131;208;576;197;mini-grid;mini-grid;intercon;8180
38301;9.39723700364085;8.95264160246168;Nigeria;Plateau;Shendam;PANGSHOM;1175.263268;3634;283;222;71.7;55;60;136;83;none;none;grid;8640
38302;10.2608369323327;8.95556897519498;Nigeria;Plateau;Wase;KADARKO;1114.996776;3635;0;210;69.1;52;62;128;76;none;mini-grid;mini-grid;45750
38306;10.0114365643652;8.96951979658022;Nigeria;Plateau;Wase;KADARKO;1703.467297;3639;189;321;69.1;79;88;176;115;none;none;grid;22370
38307;9.42048802330789;8.97455336916634;Nigeria;Plateau;Mikang;PANGSHOM;2810.017128;3640;283;530;70.9;137;162;336;195;mini-grid;mini-grid;intercon;13530
38310;9.5994477333039;9.00443813153185;Nigeria;Plateau;Mikang;BALTEP;12675.19344;3643;299;2392;64.7;761;772;1992;1043;mini-grid;mini-grid;intercon;16490
38313;9.88835284809021;9.01248085215134;Nigeria;Plateau;Wase;KUMBUR;3097.213267;3646;210;584;68.8;151;192;376;209;none;grid;grid;4070
38314;9.48733138320448;9.01727248482298;Nigeria;Plateau;Mikang;PIAPUNG \B\;5560.90564;3647;283;1049;70.4;273;404;792;384;mini-grid;mini-grid;intercon;21930
38316;9.26517570360883;9.02198286167126;Nigeria;Plateau;'Qua''an Pan';KWA;5493.330077;3649;274;1036;63.2;399;516;1000;506;mini-grid;intercon;intercon;8130
38318;9.90948424518334;9.04185722714812;Nigeria;Plateau;Wase;KUMBUR;9060.756632;3651;210;1710;66.5;415;472;920;643;mini-grid;intercon;intercon;7970
38322;9.88895458404259;9.05375074086519;Nigeria;Plateau;Langtang North;LIPCHOK;1286.582775;3655;209;243;68.7;65;64;144;84;none;none;grid;7400
38323;9.49549215332239;9.06330833019982;Nigeria;Plateau;Mikang;PIAPUNG \A\;5375.072843;3656;283;1014;70.9;273;354;704;396;mini-grid;mini-grid;intercon;27360
38326;9.93219533176516;9.06674259459897;Nigeria;Plateau;Langtang North;KUMBUR;3285.861712;3659;210;620;62.4;192;188;432;279;mini-grid;intercon;intercon;10070
38327;9.36235567922409;9.07398607217202;Nigeria;Plateau;Mikang;POESHIP;5163.899212;3660;283;974;69;237;250;552;409;mini-grid;mini-grid;intercon;5110
38330;9.68251360957236;9.07058823902091;Nigeria;Plateau;Mikang;LALIN;4392.411543;3663;305;829;66.2;252;330;648;369;mini-grid;mini-grid;intercon;13540
38331;10.0589287537924;9.07612827773778;Nigeria;Plateau;Wase;MAVO;7864.106051;3664;210;1484;71.7;360;446;968;535;mini-grid;intercon;intercon;17960
38334;9.86957857560882;9.10073331904917;Nigeria;Plateau;Langtang North;KUMBUR;1393.528032;3667;204;263;64.7;102;126;264;124;none;none;grid;4670
38337;8.84287300785773;9.10482582389284;Nigeria;Plateau;Bokkos;TOFF;1393.553995;3670;0;263;73.5;65;72;176;90;none;none;mini-grid;38350
38338;9.67476532146999;9.10626761063127;Nigeria;Plateau;Mikang;LALIN;1282.184728;3671;305;242;68.1;56;62;136;83;none;none;grid;16590
38342;9.71339975731597;9.12692942839566;Nigeria;Plateau;Langtang North;FUNYALANG;2252.51874;3675;305;425;68.7;110;110;248;155;none;none;grid;11210
38344;9.49440864915909;9.12937434158289;Nigeria;Plateau;Pankshin;TAL;4502.221832;3677;293;849;65.1;266;316;624;373;mini-grid;mini-grid;intercon;19010
38350;9.05042961021235;9.15959912380236;Nigeria;Plateau;Bokkos;MUSHERE CENTRAL;1374.036431;3683;227;259;64.3;80;82;184;105;none;mini-grid;intercon;19200
38353;9.83094974582787;9.17197694043123;Nigeria;Plateau;Langtang North;KWANDE;1559.869227;3686;194;294;62.8;91;98;200;116;none;none;grid;3790
38360;9.41352599471939;9.20001884916142;Nigeria;Plateau;Pankshin;PANKSHIN  SOUTH (BELNING);1773.858507;3693;281;335;69.8;102;112;304;139;none;mini-grid;intercon;15770
38362;8.840332374585;9.22130965324241;Nigeria;Plateau;Bokkos;DAFFO;1439.287833;3695;230;272;67.7;85;100;208;112;none;mini-grid;intercon;19530
38366;9.91195590953257;9.23109228010517;Nigeria;Plateau;Kanam;NAMARAN;3497.035344;3699;212;660;68.5;170;172;376;224;none;mini-grid;intercon;11780
38367;9.0373552178349;9.23177577622229;Nigeria;Plateau;Bokkos;TANGUR;2393.301161;3700;227;452;64.5;134;146;320;184;none;mini-grid;intercon;8710
38368;9.84567703530281;9.23312764109174;Nigeria;Plateau;Langtang North;REAK;1041.789917;3701;199;197;69.8;62;62;184;85;none;grid;grid;3280
38370;10.5754432232194;9.23851320824878;Nigeria;Plateau;Wase;YOLA WAKAT;1785.121101;3703;0;337;63;128;158;320;173;mini-grid;mini-grid;mini-grid;73120
38371;10.1792542412443;9.2552437863206;Nigeria;Plateau;Wase;BASHAR;2156.786693;3704;218;407;65.6;142;174;336;183;mini-grid;mini-grid;intercon;31560
38372;10.4775487748767;9.24213459043694;Nigeria;Plateau;Wase;NYALUM/KAMPANI;2348.250786;3705;0;443;70.2;103;108;272;156;mini-grid;mini-grid;mini-grid;62050
38376;9.81472526298533;9.2677396563078;Nigeria;Plateau;Langtang North;JAT;1520.450149;3709;191;287;70.8;73;80;168;98;none;none;grid;3300
38377;8.79026847529893;9.27438275603739;Nigeria;Plateau;Bokkos;MANGUNA;1677.47013;3710;230;317;66.3;102;106;232;136;none;mini-grid;intercon;25560
38379;9.88791096079036;9.27658832983913;Nigeria;Plateau;Kanam;NAMARAN;898.1918476;3712;212;169;74.7;63;98;224;81;mini-grid;mini-grid;intercon;9130
38381;9.55399808487173;9.28004934900367;Nigeria;Plateau;Kanke;LANGSHI;3485.77275;3714;293;658;67.5;203;264;536;290;mini-grid;mini-grid;intercon;7840
38384;9.96903056027371;9.2856200079669;Nigeria;Plateau;Kanam;KUNKYAM;1320.539111;3717;217;249;75.4;75;84;288;108;none;mini-grid;intercon;9600
38385;10.2162339593891;9.2942024306765;Nigeria;Plateau;Wase;BASHAR;1627.444789;3718;218;307;72.3;102;132;368;142;none;mini-grid;intercon;30810
38390;9.32705184743453;9.31364151068098;Nigeria;Plateau;Pankshin;LANKANG;2206.889258;3723;276;416;62.9;178;216;440;210;mini-grid;mini-grid;intercon;9410
38391;10.1573956714501;9.31374915410444;Nigeria;Plateau;Wase;BASHAR;2939.536956;3724;218;555;66.4;184;220;480;237;mini-grid;mini-grid;intercon;23460
38392;9.49020144379556;9.31574673188099;Nigeria;Plateau;Kanke;WOKKOS;5527.117858;3725;289;1043;79.7;256;278;1080;368;mini-grid;mini-grid;intercon;5860
38395;8.91865841152534;9.3447793129002;Nigeria;Plateau;Bokkos;BUTURA;5949.457549;3728;245;1123;67.1;372;390;896;480;mini-grid;intercon;intercon;6960
38397;10.0820156994885;9.36841323022878;Nigeria;Plateau;Kanam;JARMAI;7438.943139;3730;218;1404;67.8;446;510;1040;584;mini-grid;mini-grid;intercon;13500
38398;10.0290947225928;9.35009030237912;Nigeria;Plateau;Kanam;DENGI;1714.729891;3731;218;324;69.8;88;122;240;128;none;mini-grid;intercon;10220
38402;10.2422403185044;9.3609263324575;Nigeria;Plateau;Wase;NYALUM/KAMPANI;2393.301161;3735;218;452;76.6;107;124;336;192;none;none;grid;35680
38403;10.0410216592616;9.37574584659378;Nigeria;Plateau;Kanam;DENGI;1267.041791;3736;218;239;62.8;71;74;160;97;none;none;grid;8650
38406;10.173277548415;9.38269310493304;Nigeria;Plateau;Wase;BASHAR;4065.796326;3739;218;767;62.6;245;266;576;312;mini-grid;mini-grid;intercon;24790
38407;9.75897558445841;9.39667459002454;Nigeria;Plateau;Kanke;AMPER CHIKA \B\;1206.187624;3740;185;228;77.4;73;80;240;94;none;none;grid;10680
38408;10.2709486941437;9.39711942718057;Nigeria;Plateau;Wase;GUDUS;2787.491941;3741;218;526;61.5;163;208;344;227;mini-grid;mini-grid;intercon;35980
38412;9.29507660858233;9.405872999943;Nigeria;Plateau;Mangu;PUSHIT;1147.336278;3745;277;216;68;67;76;160;90;none;none;grid;2420
38415;9.3534457511221;9.41863372062818;Nigeria;Plateau;Pankshin;FIER;1282.90653;3748;282;242;72.5;74;80;248;104;none;mini-grid;intercon;7890
38417;9.95374618014019;9.42666550854198;Nigeria;Plateau;Kanam;KANAM;2351.066435;3750;216;444;67.5;135;158;328;187;none;mini-grid;intercon;7090
38418;9.39771129197791;9.41323193162449;Nigeria;Plateau;Pankshin;FIER;3229.548743;3751;284;609;64.8;201;210;416;263;mini-grid;mini-grid;intercon;8020
38420;10.0887113181246;9.42648104623594;Nigeria;Plateau;Kanam;JOM;2463.692372;3753;218;465;68.1;135;168;352;189;none;mini-grid;intercon;20120
38422;9.44870063071885;9.43206847584409;Nigeria;Plateau;Pankshin;FIER;3330.912087;3755;290;628;67;153;166;344;224;none;grid;grid;11200
38423;10.3794418125288;9.42880321275268;Nigeria;Plateau;Kanam;GARGA;2956.430846;3756;218;558;70.4;137;186;384;210;mini-grid;mini-grid;intercon;52640
38425;8.96166664522244;9.44337897361082;Nigeria;Plateau;Barikin Ladi;MARIT/MAZAT;3632.186468;3758;249;685;77.4;167;178;560;239;none;grid;grid;2430
38428;10.2896766261559;9.45281068684938;Nigeria;Plateau;Kanam;GARGA;1717.545539;3761;218;324;66.3;127;154;360;160;mini-grid;mini-grid;intercon;41830
38430;9.7323348836565;9.45165639982572;Nigeria;Plateau;Kanke;AMPER SERI;966.0589646;3763;311;182;67.6;61;94;184;89;none;mini-grid;intercon;12510
38431;10.0854875539556;9.4693648212271;Nigeria;Plateau;Kanam;JOM;2429.904591;3764;218;458;66.9;146;188;400;210;mini-grid;mini-grid;intercon;25120
38432;10.2440941092886;9.4541015719902;Nigeria;Plateau;Kanam;BIRBYANG;748.9624811;3765;218;141;67.5;53;78;152;66;none;mini-grid;intercon;36530
38434;9.88306920826136;9.46214614237686;Nigeria;Plateau;Kanam;GWAMLAR;957.3204646;3767;201;181;64.2;55;64;128;78;none;none;grid;14550
38435;8.69338620621883;9.46890730840804;Nigeria;Plateau;Riyom;SHARUBUTU;3208.817716;3768;269;605;65.7;186;230;480;255;mini-grid;mini-grid;intercon;9820
38436;10.2228720677174;9.46669447104568;Nigeria;Plateau;Kanam;BIRBYANG;2159.602342;3769;218;407;63.9;129;126;288;163;none;mini-grid;intercon;36410
38437;10.3579199976138;9.47333978511789;Nigeria;Plateau;Kanam;GARGA;1016.138104;3770;218;192;68.7;55;64;152;78;none;none;grid;50170
38438;9.74537871091911;9.47845714908381;Nigeria;Plateau;Kanke;KABWIR/GYANGYANG;1250.295786;3771;311;236;74.8;64;96;224;97;none;mini-grid;intercon;15730
38439;9.84534849282445;9.47797330927811;Nigeria;Plateau;Kanam;GWAMLAR;2252.51874;3772;201;425;67.6;103;108;232;163;none;none;grid;19160
38441;10.1696507001197;9.4803813085581;Nigeria;Plateau;Kanam;KANTANA;1013.633433;3774;218;191;63.3;80;112;232;100;none;mini-grid;intercon;34760
38442;9.45505260227883;9.4864528205105;Nigeria;Plateau;Pankshin;TAPSHIN;1968.138249;3775;290;371;70;117;144;320;173;none;grid;grid;11140
38444;9.85342250206786;9.49053157372715;Nigeria;Plateau;Kanam;GWAMLAR;2477.770614;3777;201;468;69;121;120;256;169;none;mini-grid;intercon;18960
38445;10.1377751184333;9.49136818310702;Nigeria;Plateau;Kanam;KANTANA;1531.712743;3778;218;289;58.4;90;90;152;121;none;mini-grid;intercon;30910
38446;8.69558092316167;9.49594367910319;Nigeria;Plateau;Riyom;SHARUBUTU;1766.166511;3779;269;333;66.4;109;158;288;147;none;mini-grid;intercon;14140
38447;10.314829168848;9.49687891281565;Nigeria;Plateau;Kanam;GARGA;7044.75236;3780;218;1329;72.5;321;358;832;496;mini-grid;mini-grid;intercon;47640
38448;10.0944206589674;9.50015899410209;Nigeria;Plateau;Kanam;KANTANA;2418.641997;3781;218;456;70.9;116;154;336;171;none;mini-grid;intercon;29030
38449;9.27247028777924;9.50234160721022;Nigeria;Plateau;Mangu;KANGSHU;2435.535887;3782;275;460;48.6;141;98;224;199;none;grid;grid;11940
38452;9.36687934025617;9.50866123319128;Nigeria;Plateau;Pankshin;KADUNG;1604.919602;3785;282;303;74.1;74;84;208;106;none;mini-grid;intercon;19160
38453;10.1135088365341;9.50367923618804;Nigeria;Plateau;Kanam;KANTANA;1554.23793;3786;218;293;67.1;71;74;160;107;none;none;grid;31160
38454;10.1970572281363;9.51145034086887;Nigeria;Plateau;Kanam;KANTANA;1548.606633;3787;218;292;70.1;73;78;176;104;none;mini-grid;intercon;39550
38459;10.2662062168787;9.51932645363488;Nigeria;Plateau;Kanam;GARGA;1126.25937;3792;218;213;74;64;92;200;85;none;mini-grid;intercon;49870
38466;8.74927748288215;9.55168404470337;Nigeria;Plateau;Riyom;RIM;1618.451846;3799;219;305;66.9;96;142;272;136;none;mini-grid;intercon;8930
38467;9.07829492036257;9.55040135041818;Nigeria;Plateau;Mangu;MANGU HALLE;2069.592348;3800;254;390;65.4;121;130;288;171;none;grid;grid;3890
38473;10.0766180314259;9.5717766654225;Nigeria;Plateau;Kanam;KANTANA;920.717035;3806;311;174;48.3;50;56;48;72;none;mini-grid;intercon;38170
38476;9.81922563000232;9.57679499627816;Nigeria;Plateau;Kanam;GAGDIB;4054.533732;3809;311;765;68;196;196;416;275;none;mini-grid;intercon;28390
38477;9.05330464980951;9.56913824192067;Nigeria;Plateau;Barikin Ladi;TAFAN;6915.232532;3810;254;1305;69.2;349;372;776;459;mini-grid;intercon;intercon;7450
38478;8.99007657350256;9.5782361030677;Nigeria;Plateau;Barikin Ladi;RAFAN;1303.64522;3811;254;246;68.7;78;84;216;101;none;grid;grid;7380
38479;9.00775549307962;9.59124060328229;Nigeria;Plateau;Barikin Ladi;RAFAN;2816.891472;3812;254;531;66.5;129;134;288;181;none;grid;grid;9370
38480;9.31229250190023;9.58801938336845;Nigeria;Plateau;Mangu;CHANSO;4814.758807;3813;275;908;61.7;280;280;672;377;mini-grid;intercon;intercon;9030
