,case,filename,total_demand_annual_kWh,demand_peak_kW,total_demand_supplied_annual_kWh,total_demand_shortage_annual_kWh,capacity_pv_kWp,capacity_wind_kW,capacity_storage_kWh,capacity_genset_kW,capacity_pcoupling_kW,consumption_fuel_annual_l,consumption_main_grid_mg_side_annual_kWh,feedin_main_grid_mg_side_annual_kWh,expenditures_fuel_annual,expenditures_main_grid_consumption_annual,expenditures_shortage_annual,revenue_main_grid_feedin_annual,res_share,autonomy_factor,supply_reliability_kWh,annuity,npv,lcoe,objective_value,simulation_time,evaluation_time,comments,project_site_name,stability_limit
24,base_oem,results_base_oem_s_Atulayan_stability_limit_-0.7,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65357,0.25655,3382.5381,26.7927,59.8739,,Atulayan,-0.7
25,base_oem,results_base_oem_s_Atulayan_stability_limit_-0.6,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65356,0.25655,3382.5381,26.52417,59.479,,Atulayan,-0.6
26,base_oem,results_base_oem_s_Atulayan_stability_limit_-0.5,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65357,0.25655,3382.5381,26.88527,60.25572,,Atulayan,-0.5
27,base_oem,results_base_oem_s_Atulayan_stability_limit_-0.4,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65356,0.25655,3382.5381,29.0376,62.48899,,Atulayan,-0.4
28,base_oem,results_base_oem_s_Atulayan_stability_limit_-0.3,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65356,0.25655,3382.5381,26.95449,60.15113,,Atulayan,-0.3
29,base_oem,results_base_oem_s_Atulayan_stability_limit_-0.2,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32842,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65357,0.25655,3382.5381,28.45973,61.66385,,Atulayan,-0.2
30,base_oem,results_base_oem_s_Atulayan_stability_limit_-0.1,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65357,0.25655,3382.5381,28.17355,62.06392,,Atulayan,-0.1
31,base_oem,results_base_oem_s_Atulayan_stability_limit_-0.0,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65356,0.25655,3382.5381,27.06916,60.57662,,Atulayan,-0.0
32,base_oem,results_base_oem_s_Atulayan_stability_limit_0.1,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32842,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65357,0.25655,3382.5381,29.99303,63.41473,,Atulayan,0.1
33,base_oem,results_base_oem_s_Atulayan_stability_limit_0.2,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32842,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65357,0.25655,3382.5381,28.77798,62.02436,,Atulayan,0.2
34,base_oem,results_base_oem_s_Atulayan_stability_limit_0.3,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65356,0.25655,3382.5381,29.53962,62.78125,,Atulayan,0.3
35,base_oem,results_base_oem_s_Atulayan_stability_limit_0.4,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65356,0.25655,3382.5381,30.01192,63.22711,,Atulayan,0.4
36,base_oem,results_base_oem_s_Atulayan_stability_limit_0.5,13878.7514,8.53242,13184.81383,693.93757,0.0,10.543,5.75161,3.99524,0,16034.32841,0,0,1621.65367,,69.39376,,0.85373,1.0,0.95,3382.5381,30877.65357,0.25655,3382.5381,31.05412,65.24699,,Atulayan,0.5
37,base_oem,results_base_oem_s_Atulayan_stability_limit_0.6,13878.7514,8.53242,13184.81383,693.93757,0.0,10.70286,5.37016,4.05899,0,16121.95268,0,0,1630.51567,,69.39376,,0.85493,1.0,0.95,3383.49869,30886.42228,0.25662,3383.49869,28.88726,63.18399,,Atulayan,0.6
38,base_oem,results_base_oem_s_Atulayan_stability_limit_0.7,13878.7514,8.53242,13184.81383,693.93757,0.0,10.48185,6.10027,4.04377,0,15905.20869,0,0,1608.59497,,69.39376,,0.85402,1.0,0.95,3391.36132,30958.19669,0.25722,3391.36132,30.69999,64.57588,,Atulayan,0.7
39,base_oem,results_base_oem_s_Atulayan_stability_limit_0.8,13878.7514,8.53242,13184.81383,693.93757,0.0,9.99898,8.0525,3.88994,0,15256.64847,0,0,1543.00195,,69.39376,,0.85333,1.0,0.95,3409.49057,31123.69034,0.25859,3409.49057,31.2335,65.14418,,Atulayan,0.8
40,base_oem,results_base_oem_s_Atulayan_stability_limit_0.9,13878.7514,8.53242,13184.81383,693.93757,0.0,9.56812,9.41224,4.00246,0,14900.99247,0,0,1507.03219,,69.39376,,0.85075,1.0,0.95,3435.32491,31359.52031,0.26055,3435.32491,28.66472,62.04314,,Atulayan,0.9
41,base_oem,results_base_oem_s_Atulayan_stability_limit_1.0,13878.7514,8.53242,13184.81383,693.93757,0.0,9.62515,9.77588,4.49694,0,14649.66209,0,0,1481.61355,,69.39376,,0.85364,1.0,0.95,3470.65503,31682.03292,0.26323,3470.65503,23.85399,58.2918,,Atulayan,1.0
