,power,Wind,GridAvailability,SolarGen
134,171.0,0.326,1,0.568
135,223.0,0.36700000000000005,0,0.35100000000000003
136,247.0,0.386,1,0.128
137,157.0,0.40299999999999997,1,0.001
138,165.5,0.408,1,0.0
139,590.5,0.40399999999999997,1,0.0
140,428.0,0.391,1,0.0
141,136.5,0.382,0,0.0
142,102.0,0.374,1,0.0
143,73.5,0.377,1,0.0
144,75.0,0.397,1,0.0
145,80.0,0.39899999999999997,0,0.0
146,83.5,0.40399999999999997,1,0.0
147,81.0,0.40399999999999997,1,0.0
148,75.0,0.395,1,0.0
149,78.0,0.39299999999999996,1,0.0
150,81.0,0.391,1,0.0
151,96.0,0.379,0,0.09699999999999999
152,111.0,0.419,1,0.317
153,120.0,0.461,1,0.498
154,123.0,0.511,0,0.626
155,101.5,0.57,1,0.6920000000000001
156,94.0,0.616,1,0.726
157,75.0,0.638,1,0.674
158,347.5,0.652,1,0.564
159,629.5,0.654,0,0.38299999999999995
160,353.5,0.639,1,0.15
161,180.5,0.584,1,0.002
162,146.0,0.527,1,0.0
163,541.5,0.507,1,0.0
164,160.0,0.494,0,0.0
165,313.5,0.498,1,0.0
166,105.0,0.493,1,0.0
167,108.0,0.498,0,0.0
0,75.0,0.847,1,0.0
1,80.5,0.794,1,0.0
2,91.5,0.752,1,0.0
3,81.0,0.718,1,0.0
4,81.0,0.6890000000000001,1,0.0
5,78.0,0.664,1,0.0
6,84.0,0.649,1,0.0
7,105.0,0.627,1,0.122
8,123.0,0.628,1,0.359
9,114.0,0.6509999999999999,0,0.556
10,125.0,0.71,0,0.6779999999999999
11,120.5,0.805,1,0.7390000000000001
12,129.0,0.8909999999999999,1,0.735
13,160.0,0.941,1,0.6809999999999999
14,135.0,0.966,0,0.5670000000000001
15,437.0,0.972,1,0.364
16,395.0,0.972,1,0.139
17,125.0,0.97,1,0.001
18,99.0,0.971,1,0.0
19,607.5,0.971,1,0.0
20,430.0,0.977,1,0.0
21,84.5,0.982,1,0.0
22,111.0,0.983,1,0.0
23,105.0,0.9840000000000001,1,0.0
24,75.0,0.983,1,0.0
25,81.0,0.98,1,0.0
26,81.0,0.975,1,0.0
27,84.0,0.968,1,0.0
28,87.0,0.961,1,0.0
29,81.0,0.948,0,0.0
30,355.0,0.934,1,0.0
31,358.0,0.9329999999999999,1,0.128
32,104.0,0.948,1,0.381
33,103.0,0.9620000000000001,1,0.574
34,98.0,0.968,0,0.696
35,104.5,0.973,1,0.757
36,127.0,0.972,1,0.736
37,128.5,0.965,1,0.6829999999999999
38,162.5,0.9540000000000001,1,0.57
39,196.0,0.943,1,0.39
40,173.0,0.924,1,0.155
41,184.5,0.889,1,0.002
42,185.0,0.847,1,0.0
43,347.0,0.82,0,0.0
44,198.5,0.807,0,0.0
45,342.5,0.8029999999999999,1,0.0
46,126.0,0.797,1,0.0
47,117.0,0.8,1,0.0
48,100.5,0.82,1,0.0
49,86.0,0.8270000000000001,0,0.0
50,80.0,0.8320000000000001,1,0.0
