Demand,SolarGen,Wind,GridAvailability
0,0,0.002,1
10,0,0.001,1
10,0.1,0,1
0,0.35,0,1
3,0.544,0.001,1
0,0.671,0.001,1
3,0.732,0.002,0
3,0.709,0.002,0
6,0.654,0.002,1
6,0.532,0.005,1
6,0.305,0.023,1
3,0.098,0.051,0
21,0,0.074,1
26,0,0.094,1
28,0,0.104,1
24,0,0.108,1
15,0,0.099,1
10,0,0.092,1
10,0,0.088,0
0,0,0.093,0
0,0,0.117,1
0,0,0.15,1
0,0,0.172,1
0,0,0.165,1
0,0,0.129,0
8,0,0.069,1
10,0.076,0.013,0
12,0.301,0.034,1
3,0.509,0.119,0
6,0.641,0.218,0
0,0.706,0.318,1
3,0.698,0.411,1
0,0.645,0.455,1
6,0.527,0.443,1
6,0.342,0.373,1
18,0.119,0.388,0
33,0,0.336,1
41,0,0.291,1
48,0,0.271,0
27,0,0.204,1
24,0,0.168,1
10,0,0.142,1
12,0,0.121,0
0,0,0.109,1
0,0,0.101,1
0,0,0.079,0
0,0,0.056,1
0,0,0.045,1
0,0,0.036,1
6,0,0.019,1
8,0.081,0.001,0
3,0.298,0,1
6,0.47,0,1
6,0.551,0.009,1
3,0.564,0.029,1
3,0.577,0.05,0
3,0.52,0.055,0
9,0.368,0.052,1
3,0.212,0.068,0
21,0.088,0.097,1
21,0,0.118,1
23,0,0.137,1
25,0,0.141,1
8,0,0.132,1
21,0,0.112,0
16,0,0.101,1
16,0,0.084,1
0,0,0.068,1
0,0,0.062,1
0,0,0.057,1
0,0,0.047,0
0,0,0.04,1
0,0,0.03,1
4,0,0.014,1
8,0.093,0,1
12,0.279,0,1
3,0.383,0,0
6,0.3,0,0
9,0.241,0,1
6,0.269,0.011,0
6,0.52,0.016,1
15,0.199,0.021,1
9,0.074,0.039,1
18,0.027,0.039,1
18,0,0.018,1
25,0,0.007,1
25,0,0.012,0
8,0,0.028,0
13,0,0.032,0
4,0,0.027,1
6,0,0.023,1
0,0,0.024,0
0,0,0.02,0
0,0,0.013,1
0,0,0.008,1
0,0,0.004,1
0,0,0.004,0
4,0,0.006,1
4,0.119,0.005,1
21,0.356,0.002,1
12,0.561,0.007,1
6,0.691,0.015,0
0,0.758,0.014,1
3,0.765,0.011,1
0,0.715,0.009,0
3,0.603,0.006,0
15,0.412,0.007,1
0,0.168,0.004,1
30,0.002,0,1
31,0,0,0
10,0,0.006,0
11,0,0.023,1
9,0,0.047,1
18,0,0.059,1
8,0,0.055,0
0,0,0.043,1
0,0,0.026,1
0,0,0.009,0
0,0,0.003,1
0,0,0.003,0
0,0,0.003,1
8,0,0.004,1
8,0.116,0,1
3,0.351,0,0
6,0.55,0,0
3,0.677,0.002,0
3,0.741,0.003,0
3,0.731,0.003,0
3,0.68,0.007,1
6,0.568,0.009,1
3,0.351,0.032,0
3,0.128,0.078,1
6,0.001,0.079,1
11,0,0.055,1
39,0,0.038,1
20,0,0.06,1
6,0,0.077,0
10,0,0.071,1
20,0,0.051,1
0,0,0.035,1
0,0,0.028,0
0,0,0.016,1
0,0,0.006,1
0,0,0.002,1
0,0,0.001,1
2,0,0.002,1
4,0.097,0.001,0
6,0.317,0,1
9,0.498,0.001,1
9,0.626,0.006,0
6,0.692,0.007,1
3,0.726,0.005,1
0,0.674,0.003,1
3,0.564,0.002,1
0,0.383,0.01,0
24,0.15,0.034,1
21,0.002,0.032,1
37,0,0.019,1
24,0,0.013,1
12,0,0.018,0
11,0,0.031,1
6,0,0.041,1
6,0,0.041,0
0,0,0.04,1
0,0,0.036,1
0,0,0.026,1
0,0,0.016,1
0,0,0.012,1
0,0,0.009,1
4,0,0.008,1
8,0.122,0.002,1
15,0.359,0,1
6,0.556,0,0
6,0.678,0,0
6,0.739,0.001,1
15,0.735,0.003,1
6,0.681,0.005,1
3,0.567,0.009,0
21,0.364,0.035,1
21,0.139,0.081,1
18,0.001,0.101,1
30,0,0.118,1
30,0,0.144,1
12,0,0.144,1
15,0,0.114,1
6,0,0.073,1
6,0,0.04,1
0,0,0.021,1
0,0,0.011,1
0,0,0.007,1
0,0,0.006,1
0,0,0.008,1
0,0,0.011,0
4,0,0.012,1
6,0.128,0.005,1
0,0.381,0.003,1
6,0.574,0.003,1
9,0.696,0.002,0
6,0.757,0.001,1
6,0.736,0,1
9,0.683,0.001,1
6,0.57,0.001,1
3,0.39,0.012,1
21,0.155,0.056,1
18,0.002,0.108,1
25,0,0.158,1
47,0,0.176,0
14,0,0.161,0
10,0,0.143,1
16,0,0.13,1
8,0,0.123,1
0,0,0.121,1
0,0,0.115,0
0,0,0.088,1
0,0,0.055,1
0,0,0.034,1
0,0,0.021,1
6,0,0.01,1
8,0.136,0.001,1
3,0.387,0,1
6,0.581,0,1
3,0.701,0.001,0
3,0.758,0.013,0
18,0.754,0.028,1
9,0.7,0.048,1
6,0.586,0.078,0
24,0.402,0.139,1
15,0.165,0.23,1
0,0.003,0.309,1
20,0,0.347,1
38,0,0.327,1
11,0,0.268,1
8,0,0.216,0
8,0,0.176,1
8,0,0.153,1
0,0,0.147,1
0,0,0.156,1
0,0,0.156,1
0,0,0.135,0
0,0,0.103,0
0,0,0.075,0
8,0,0.034,1
12,0.126,0.005,1
21,0.367,0.019,1
9,0.554,0.037,0
6,0.672,0.055,1
6,0.733,0.078,1
9,0.734,0.098,1
3,0.676,0.121,0
3,0.563,0.134,1
18,0.39,0.153,1
15,0.155,0.221,1
27,0.001,0.262,1
26,0,0.28,1
29,0,0.274,0
18,0,0.246,1
13,0,0.208,1
10,0,0.181,1
20,0,0.146,1
0,0,0.117,0
0,0,0.087,1
0,0,0.061,1
0,0,0.038,1
0,0,0.021,1
0,0,0.01,0
4,0,0.004,1
6,0.104,0,0
3,0.339,0,1
3,0.575,0,1
3,0.697,0,1
3,0.757,0.004,1
15,0.766,0.014,1
0,0.717,0.02,0
0,0.607,0.032,1
21,0.437,0.069,1
18,0.196,0.14,0
36,0.005,0.183,1
25,0,0.204,0
7,0,0.205,1
6,0,0.195,0
7,0,0.174,1
10,0,0.132,1
22,0,0.087,1
0,0,0.052,1
0,0,0.029,1
0,0,0.015,0
0,0,0.006,1
0,0,0.003,1
0,0,0.003,1
2,0,0.005,1
4,0.155,0,0
0,0.412,0,1
6,0.604,0,1
6,0.724,0.009,1
6,0.783,0.03,0
18,0.782,0.055,1
0,0.732,0.078,0
0,0.624,0.111,1
24,0.443,0.154,1
9,0.201,0.21,0
21,0.005,0.209,1
10,0,0.188,1
11,0,0.164,1
23,0,0.151,0
18,0,0.119,1
20,0,0.076,1
18,0,0.039,1
0,0,0.02,1
0,0,0.014,0
0,0,0.016,1
0,0,0.015,1
0,0,0.011,1
0,0,0.007,1
2,0,0.004,1
4,0.108,0,1
18,0.386,0,1
3,0.545,0,1
3,0.622,0.002,0
3,0.663,0.006,0
6,0.731,0.003,0
6,0.674,0.001,1
9,0.521,0.001,1
24,0.343,0.008,0
27,0.154,0.029,1
18,0.003,0.04,1
32,0,0.061,1
26,0,0.103,1
9,0,0.129,0
6,0,0.119,1
8,0,0.105,1
8,0,0.096,1
0,0,0.091,1
0,0,0.087,0
0,0,0.074,1
0,0,0.055,1
0,0,0.037,0
0,0,0.018,1
4,0,0.005,1
6,0.112,0,1
0,0.32,0.001,0
3,0.48,0.005,1
3,0.619,0.006,1
9,0.661,0.017,1
9,0.63,0.019,0
0,0.592,0.018,1
9,0.539,0.026,1
9,0.368,0.066,0
12,0.149,0.113,1
6,0.003,0.109,1
5,0,0.087,1
22,0,0.073,1
9,0,0.074,1
9,0,0.092,0
18,0,0.108,1
18,0,0.117,1
0,0,0.112,0
0,0,0.095,1
0,0,0.062,1
0,0,0.031,1
0,0,0.013,0
0,0,0.005,1
2,0,0.001,1
4,0.077,0,1
15,0.28,0.01,1
3,0.5,0.028,0
6,0.654,0.034,1
6,0.725,0.051,0
3,0.726,0.081,0
6,0.674,0.12,1
3,0.563,0.182,0
3,0.388,0.214,0
0,0.164,0.235,1
30,0.004,0.242,1
35,0,0.248,1
42,0,0.262,0
13,0,0.241,1
4,0,0.19,1
4,0,0.142,1
2,0,0.117,1
0,0,0.113,0
0,0,0.115,1
0,0,0.118,0
0,0,0.108,1
0,0,0.078,1
0,0,0.045,0
6,0,0.013,0
10,0.054,0.002,1
6,0.172,0.04,1
6,0.317,0.131,1
9,0.477,0.243,1
6,0.57,0.34,1
15,0.577,0.422,0
3,0.533,0.486,1
3,0.494,0.534,1
18,0.373,0.498,1
15,0.169,0.496,1
33,0.005,0.475,1
30,0,0.366,1
41,0,0.284,1
15,0,0.25,1
17,0,0.25,1
8,0,0.258,1
6,0,0.247,1
0,0,0.214,0
0,0,0.17,1
0,0,0.13,1
0,0,0.106,1
0,0,0.082,1
0,0,0.054,0
8,0,0.017,1
10,0.095,0,1
12,0.355,0.009,1
9,0.593,0.054,1
6,0.716,0.063,0
3,0.767,0.082,1
18,0.75,0.102,0
9,0.711,0.109,1
3,0.612,0.123,1
6,0.442,0.179,0
9,0.206,0.256,1
18,0.008,0.243,1
11,0,0.202,1
11,0,0.159,1
13,0,0.162,1
10,0,0.179,0
22,0,0.192,0
8,0,0.22,1
0,0,0.194,1
0,0,0.135,0
0,0,0.083,1
0,0,0.038,1
0,0,0.017,1
0,0,0.016,0
2,0,0.016,1
6,0.182,0.001,1
3,0.434,0.001,1
0,0.622,0.005,1
0,0.738,0.004,1
6,0.792,0.005,1
12,0.777,0.013,1
6,0.726,0.029,1
9,0.616,0.053,0
24,0.426,0.092,1
27,0.191,0.151,1
18,0.007,0.21,1
22,0,0.268,1
33,0,0.31,0
20,0,0.274,1
21,0,0.207,1
18,0,0.128,1
4,0,0.067,1
0,0,0.052,1
0,0,0.071,0
0,0,0.098,0
0,0,0.099,0
0,0,0.068,1
0,0,0.037,1
6,0,0.018,1
6,0.192,0.004,0
6,0.448,0.013,1
0,0.636,0.029,0
0,0.752,0.045,1
3,0.807,0.1,1
6,0.787,0.219,0
3,0.736,0.367,1
0,0.627,0.44,1
3,0.447,0.404,1
9,0.205,0.444,1
6,0.008,0.48,1
5,0,0.475,1
22,0,0.402,1
7,0,0.352,1
21,0,0.33,0
16,0,0.315,1
20,0,0.293,1
0,0,0.267,1
0,0,0.254,1
0,0,0.216,1
0,0,0.188,0
0,0,0.166,1
0,0,0.119,0
4,0,0.045,0
6,0.141,0.021,1
3,0.417,0.07,0
3,0.594,0.141,1
0,0.698,0.232,1
3,0.756,0.333,0
6,0.779,0.433,1
9,0.731,0.51,0
3,0.616,0.53,1
9,0.416,0.468,1
21,0.174,0.474,1
18,0.006,0.462,0
19,0,0.398,1
27,0,0.349,1
19,0,0.317,1
18,0,0.304,1
20,0,0.287,1
24,0,0.267,1
0,0,0.241,1
0,0,0.209,0
0,0,0.161,1
0,0,0.109,1
0,0,0.079,1
0,0,0.126,1
8,0,0.166,0
10,0.105,0.086,0
12,0.232,0.068,1
3,0.462,0.08,1
6,0.694,0.056,1
9,0.763,0.015,1
3,0.739,0.046,0
3,0.688,0.398,0
9,0.574,0.501,1
18,0.381,0.294,1
18,0.156,0.083,0
18,0.005,0.03,1
24,0,0.065,1
38,0,0.13,1
10,0,0.18,0
22,0,0.215,1
10,0,0.23,1
18,0,0.18,1
0,0,0.108,1
0,0,0.1,1
0,0,0.118,1
0,0,0.128,1
0,0,0.141,1
0,0,0.14,1
2,0,0.087,0
4,0.128,0.076,1
0,0.364,0.2,0
3,0.524,0.307,1
3,0.645,0.323,0
3,0.706,0.345,1
3,0.714,0.401,1
6,0.663,0.454,1
6,0.551,0.48,0
3,0.367,0.448,1
0,0.15,0.44,1
18,0.006,0.43,1
25,0,0.381,1
15,0,0.331,1
21,0,0.31,1
7,0,0.301,0
6,0,0.286,0
4,0,0.247,1
0,0,0.221,0
0,0,0.18,0
0,0,0.136,1
0,0,0.098,1
0,0,0.071,1
0,0,0.041,0
4,0,0.009,1
10,0.163,0.001,1
6,0.411,0.012,1
6,0.599,0.033,1
9,0.716,0.06,0
3,0.772,0.088,1
3,0.761,0.107,1
3,0.71,0.102,1
0,0.599,0.09,1
15,0.398,0.102,1
18,0.17,0.131,1
30,0.008,0.138,0
24,0,0.13,1
26,0,0.133,0
20,0,0.139,0
27,0,0.13,1
24,0,0.127,1
10,0,0.127,1
0,0,0.118,1
0,0,0.098,1
0,0,0.073,1
0,0,0.048,0
0,0,0.026,1
0,0,0.011,1
6,0,0.005,1
10,0.228,0,1
21,0.475,0,1
6,0.659,0,1
6,0.769,0,1
0,0.823,0.002,1
12,0.808,0.01,1
3,0.759,0.011,1
3,0.651,0.016,1
6,0.477,0.044,0
6,0.234,0.096,0
6,0.015,0.132,1
15,0,0.17,1
11,0,0.193,1
15,0,0.17,0
11,0,0.124,0
6,0,0.086,0
10,0,0.058,1
0,0,0.039,1
0,0,0.026,0
0,0,0.02,1
0,0,0.016,1
0,0,0.009,1
0,0,0.006,1
10,0,0.004,0
12,0.19,0.001,0
0,0.439,0,0
0,0.632,0,0
3,0.74,0,0
3,0.798,0.004,1
3,0.806,0.007,0
3,0.764,0.007,1
6,0.658,0.006,0
9,0.467,0.022,1
27,0.23,0.059,1
21,0.015,0.051,1
23,0,0.038,1
43,0,0.052,1
20,0,0.077,1
13,0,0.103,1
10,0,0.108,0
8,0,0.08,1
0,0,0.049,1
0,0,0.031,1
0,0,0.023,1
0,0,0.021,1
0,0,0.02,1
0,0,0.017,0
8,0,0.015,1
8,0.114,0.002,1
0,0.34,0,1
6,0.552,0,0
9,0.659,0,0
3,0.72,0.001,0
6,0.684,0.008,1
6,0.59,0.024,0
3,0.452,0.055,1
3,0.312,0.115,1
3,0.164,0.197,1
21,0.011,0.208,0
5,0,0.195,1
6,0,0.18,1
8,0,0.174,1
20,0,0.172,1
20,0,0.167,1
20,0,0.158,1
0,0,0.149,1
0,0,0.151,1
0,0,0.121,1
0,0,0.079,1
0,0,0.047,1
0,0,0.029,0
6,0,0.016,1
6,0.165,0.001,1
12,0.407,0.037,1
9,0.592,0.215,0
0,0.714,0.404,0
0,0.772,0.551,0
21,0.765,0.639,0
6,0.707,0.689,0
12,0.588,0.72,1
21,0.406,0.675,1
21,0.173,0.631,1
18,0.009,0.573,1
44,0,0.487,1
14,0,0.416,0
9,0,0.34,1
11,0,0.268,1
16,0,0.209,1
8,0,0.169,0
0,0,0.16,0
0,0,0.154,0
0,0,0.119,1
0,0,0.068,0
0,0,0.038,0
0,0,0.018,0
8,0,0.004,1
8,0.14,0,1
3,0.377,0.001,1
9,0.568,0.021,1
6,0.691,0.042,1
3,0.75,0.078,1
6,0.688,0.119,1
3,0.635,0.146,1
6,0.525,0.174,1
24,0.331,0.225,1
24,0.133,0.325,0
18,0.007,0.396,1
37,0,0.437,1
27,0,0.398,1
27,0,0.328,1
18,0,0.278,1
22,0,0.232,1
22,0,0.212,1
0,0,0.195,1
0,0,0.168,1
0,0,0.145,1
0,0,0.126,1
0,0,0.104,1
0,0,0.078,1
2,0,0.036,0
2,0.161,0.009,0
0,0.406,0.044,1
3,0.53,0.044,1
6,0.662,0.036,0
3,0.73,0.044,0
0,0.737,0.053,1
3,0.692,0.067,0
6,0.587,0.098,1
0,0.419,0.181,0
6,0.196,0.334,1
18,0.014,0.373,1
22,0,0.323,1
22,0,0.3,0
20,0,0.258,1
22,0,0.172,0
16,0,0.108,1
6,0,0.095,1
0,0,0.135,1
0,0,0.135,0
0,0,0.113,0
0,0,0.087,1
0,0,0.057,1
0,0,0.031,1
8,0,0.009,1
8,0.171,0,0
3,0.411,0.01,1
0,0.594,0.044,1
6,0.71,0.09,1
3,0.764,0.136,1
18,0.723,0.149,1
6,0.673,0.156,1
3,0.562,0.18,0
3,0.346,0.208,1
0,0.139,0.244,1
0,0.009,0.219,1
31,0,0.17,1
28,0,0.14,1
9,0,0.122,0
13,0,0.102,1
10,0,0.082,1
8,0,0.066,0
0,0,0.053,1
0,0,0.045,1
0,0,0.026,0
0,0,0.008,1
0,0,0.002,1
0,0,0.001,1
6,0,0.007,1
10,0.153,0.003,1
0,0.396,0,1
6,0.554,0,1
3,0.688,0.014,1
3,0.756,0.065,0
3,0.753,0.13,0
0,0.709,0.178,0
0,0.607,0.197,1
0,0.44,0.184,0
6,0.211,0.182,1
9,0.017,0.172,0
17,0,0.16,1
13,0,0.158,1
11,0,0.169,1
8,0,0.178,1
6,0,0.168,0
8,0,0.132,1
0,0,0.086,1
0,0,0.043,1
0,0,0.016,1
0,0,0.007,1
0,0,0.005,0
0,0,0.005,1
4,0,0.003,1
4,0.192,0,1
0,0.438,0.001,0
6,0.62,0.013,1
6,0.734,0.044,1
9,0.791,0.088,1
18,0.802,0.159,1
9,0.753,0.261,1
6,0.648,0.367,1
9,0.468,0.411,1
9,0.237,0.415,1
6,0.023,0.397,1
10,0,0.353,1
7,0,0.318,0
9,0,0.251,0
21,0,0.186,1
16,0,0.162,1
18,0,0.174,1
0,0,0.208,0
0,0,0.228,1
0,0,0.232,1
0,0,0.163,1
0,0,0.105,1
0,0,0.06,0
4,0.001,0.015,1
8,0.228,0.001,1
0,0.477,0.022,1
3,0.658,0.118,1
3,0.77,0.177,0
6,0.825,0.252,0
0,0.82,0.327,1
3,0.769,0.382,1
3,0.661,0.411,0
0,0.489,0.401,1
3,0.251,0.422,1
6,0.025,0.448,0
26,0,0.427,1
20,0,0.341,0
14,0,0.232,1
9,0,0.174,1
10,0,0.131,1
22,0,0.092,0
0,0,0.067,1
0,0,0.054,0
0,0,0.047,0
0,0,0.031,0
0,0,0.009,1
0,0,0.001,1
4,0.001,0,1
8,0.186,0,1
3,0.435,0,1
3,0.617,0.018,1
3,0.709,0.049,1
3,0.716,0.087,1
3,0.714,0.123,1
6,0.655,0.145,0
6,0.532,0.166,1
6,0.363,0.182,1
3,0.174,0.21,1
33,0.014,0.233,1
24,0,0.289,1
34,0,0.318,1
18,0,0.257,1
18,0,0.161,0
20,0,0.091,0
10,0,0.073,1
0,0,0.072,1
0,0,0.072,1
0,0,0.061,0
0,0,0.041,1
0,0,0.02,1
0,0,0.007,1
0,0.002,0.004,1
2,0.241,0,1
15,0.487,0,0
6,0.667,0.014,1
9,0.78,0.043,1
6,0.837,0.077,1
3,0.834,0.111,1
9,0.786,0.14,0
9,0.681,0.164,0
3,0.512,0.186,0
15,0.275,0.232,1
0,0.034,0.271,1
17,0,0.286,1
13,0,0.259,1
11,0,0.228,0
7,0,0.197,1
18,0,0.17,1
20,0,0.142,1
0,0,0.12,1
0,0,0.106,1
0,0,0.084,0
0,0,0.062,1
0,0,0.049,1
0,0,0.037,1
0,0.002,0.015,1
2,0.228,0.002,1
0,0.475,0.008,0
0,0.64,0.103,1
0,0.755,0.247,1
3,0.811,0.379,0
3,0.814,0.472,0
6,0.763,0.526,1
12,0.655,0.546,1
18,0.473,0.492,1
15,0.238,0.467,1
33,0.025,0.451,1
25,0,0.347,1
14,0,0.286,1
21,0,0.268,1
23,0,0.256,0
6,0,0.237,1
6,0,0.218,1
0,0,0.195,1
0,0,0.174,1
0,0,0.124,1
0,0,0.057,1
0,0,0.015,0
0,0,0.001,0
6,0.001,0.001,1
8,0.149,0,0
0,0.338,0,0
6,0.442,0.007,1
3,0.488,0.021,0
6,0.494,0.031,1
6,0.467,0.039,1
12,0.385,0.049,1
9,0.286,0.058,1
24,0.173,0.063,1
27,0.066,0.053,1
21,0.004,0.027,0
9,0,0.01,1
28,0,0.004,1
23,0,0.004,0
13,0,0.013,1
22,0,0.028,1
18,0,0.041,1
0,0,0.047,1
0,0,0.044,1
0,0,0.041,1
0,0,0.044,1
0,0,0.046,1
0,0,0.044,1
2,0,0.046,1
6,0.025,0.015,1
0,0.083,0.004,1
6,0.221,0.011,1
0,0.422,0.017,0
3,0.51,0.018,0
6,0.545,0.017,1
6,0.493,0.014,0
0,0.377,0.011,1
9,0.29,0.01,0
24,0.139,0.006,1
33,0.011,0.001,1
32,0,0,1
19,0,0,1
19,0,0.003,1
7,0,0.016,1
4,0,0.031,0
4,0,0.04,1
0,0,0.045,1
0,0,0.051,1
0,0,0.062,1
0,0,0.065,1
0,0,0.06,1
0,0,0.061,1
12,0,0.064,1
12,0.065,0.005,1
0,0.213,0,1
6,0.409,0.002,0
3,0.541,0.008,1
6,0.54,0.018,1
9,0.587,0.025,1
6,0.543,0.025,1
6,0.454,0.029,0
3,0.312,0.041,1
3,0.135,0.067,1
0,0.013,0.088,1
23,0,0.095,1
27,0,0.105,1
15,0,0.121,1
18,0,0.12,0
10,0,0.104,1
12,0,0.087,1
0,0,0.069,1
0,0,0.049,1
0,0,0.032,1
0,0,0.022,1
0,0,0.016,0
0,0,0.011,1
2,0.002,0.009,1
4,0.152,0,1
3,0.404,0,1
12,0.62,0.006,1
12,0.743,0.021,1
3,0.808,0.043,1
12,0.811,0.071,1
0,0.757,0.091,0
0,0.645,0.102,0
3,0.475,0.102,1
21,0.245,0.091,1
27,0.031,0.073,0
30,0,0.066,1
27,0,0.064,1
12,0,0.054,0
21,0,0.048,1
18,0,0.042,1
6,0,0.035,1
0,0,0.029,1
0,0,0.023,1
0,0,0.014,0
0,0,0.008,1
0,0,0.005,1
0,0,0.006,1
10,0.003,0.009,1
10,0.208,0,1
12,0.461,0.001,1
9,0.646,0.007,0
9,0.766,0.012,1
6,0.823,0.016,0
9,0.801,0.022,1
9,0.749,0.028,0
9,0.638,0.036,0
6,0.458,0.042,0
6,0.226,0.037,1
3,0.027,0.023,1
13,0,0.013,1
21,0,0.008,1
13,0,0.002,1
16,0,0,1
12,0,0,1
10,0,0,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
6,0.003,0,1
4,0.196,0,1
18,0.437,0.002,1
6,0.605,0.003,1
6,0.724,0.005,1
9,0.783,0.012,1
24,0.788,0.028,1
12,0.736,0.04,1
9,0.627,0.048,1
9,0.451,0.063,1
6,0.225,0.101,1
18,0.026,0.153,1
23,0,0.187,1
14,0,0.196,0
20,0,0.223,1
10,0,0.249,1
8,0,0.221,1
10,0,0.21,1
0,0,0.19,1
0,0,0.169,0
0,0,0.088,1
0,0,0.022,0
0,0,0.001,0
0,0,0.001,0
10,0.003,0.01,1
6,0.151,0.002,1
0,0.365,0,0
3,0.569,0.001,1
3,0.706,0.004,1
3,0.762,0.009,0
6,0.763,0.016,1
3,0.708,0.024,1
6,0.596,0.031,1
21,0.441,0.04,0
9,0.217,0.049,0
15,0.026,0.044,0
26,0,0.033,1
39,0,0.02,1
15,0,0.016,1
10,0,0.024,1
12,0,0.035,1
22,0,0.041,1
0,0,0.048,1
0,0,0.051,1
0,0,0.038,1
0,0,0.016,1
0,0,0.002,1
0,0,0,1
8,0.003,0,1
8,0.163,0,0
0,0.403,0.001,1
3,0.591,0.005,0
6,0.712,0.015,0
3,0.772,0.037,0
21,0.754,0.069,0
12,0.698,0.107,0
12,0.581,0.159,1
21,0.413,0.204,1
21,0.199,0.25,1
24,0.024,0.291,0
24,0,0.292,1
22,0,0.278,1
14,0,0.271,1
11,0,0.243,1
6,0,0.215,1
6,0,0.172,1
0,0,0.13,1
0,0,0.093,1
0,0,0.057,1
0,0,0.027,1
0,0,0.005,1
0,0,0,1
4,0.002,0,1
8,0.106,0,0
3,0.249,0.036,1
6,0.405,0.121,1
9,0.516,0.178,1
9,0.564,0.196,1
6,0.673,0.18,1
6,0.657,0.122,0
3,0.57,0.091,0
6,0.416,0.09,1
6,0.205,0.086,1
3,0.026,0.059,1
15,0,0.033,1
39,0,0.017,0
23,0,0.009,1
8,0,0.007,0
6,0,0.009,1
4,0,0.014,1
0,0,0.016,1
0,0,0.011,0
0,0,0.003,1
0,0,0,1
0,0,0,1
0,0,0,1
6,0.002,0,0
8,0.103,0,1
9,0.323,0.001,0
6,0.503,0.011,1
6,0.625,0.026,0
6,0.71,0.046,0
6,0.74,0.065,1
3,0.7,0.068,1
6,0.609,0.071,0
24,0.42,0.079,1
18,0.166,0.088,1
27,0.02,0.085,1
21,0,0.078,1
8,0,0.064,0
18,0,0.054,1
9,0,0.049,0
6,0,0.054,1
