Demand;SolarPV;Wind
0;0.217;0.722
0;0.19;0.818
0;0.111;0.849
0;0.035;0.875
0;0;0.89
1.2516;0;0.881
5.0958;0;0.886
6.4368;0;0.908
6.9732;0;0.916
5.9898;0;0.915
4.47;0;0.908
3.7548;0;0.907
0;0;0.911
0;0;0.894
0;0;0.837
0;0;0.798
0;0;0.783
0;0.009;0.766
0;0.063;0.732
0;0.136;0.709
0;0.224;0.736
0;0.283;0.778
0;0.313;0.782
0;0.309;0.764
0;0.26;0.745
0;0.196;0.749
0;0.11;0.765
0;0.032;0.783
0;0;0.818
1.2516;0;0.861
5.0958;0;0.889
6.4368;0;0.91
6.9732;0;0.916
5.9898;0;0.916
4.47;0;0.915
3.7548;0;0.913
0;0;0.89
0;0;0.842
0;0;0.821
0;0;0.825
0;0;0.849
0;0.019;0.886
0;0.141;0.911
0;0.274;0.915
0;0.345;0.916
0;0.393;0.915
0;0.35;0.914
0;0.285;0.916
0;0.211;0.916
0;0.169;0.915
0;0.098;0.916
0;0.029;0.916
0;0;0.916
1.2516;0;0.915
5.0958;0;0.912
6.4368;0;0.914
6.9732;0;0.915
5.9898;0;0.914
4.47;0;0.914
3.7548;0;0.915
0;0;0.911
0;0;0.891
0;0;0.874
0;0;0.862
0;0;0.86
0;0.013;0.877
0;0.1;0.895
0;0.232;0.905
0;0.377;0.912
0;0.502;0.916
0;0.572;0.914
0;0.528;0.914
0;0.424;0.916
0;0.262;0.915
0;0.137;0.915
0;0.041;0.916
0;0;0.916
1.2516;0;0.913
5.0958;0;0.907
6.4368;0;0.909
6.9732;0;0.913
5.9898;0;0.915
4.47;0;0.915
3.7548;0;0.915
0;0;0.916
0;0;0.908
0;0;0.899
0;0;0.895
0;0;0.892
0;0.019;0.89
0;0.124;0.891
0;0.261;0.895
0;0.359;0.902
0;0.393;0.908
0;0.37;0.91
0;0.317;0.906
0;0.25;0.899
0;0.175;0.886
0;0.094;0.868
0;0.028;0.859
0;0;0.865
1.2516;0;0.875
5.0958;0;0.88
6.4368;0;0.876
6.9732;0;0.874
5.9898;0;0.874
4.47;0;0.872
3.7548;0;0.862
0;0;0.833
0;0;0.787
0;0;0.749
0;0;0.736
0;0;0.757
0;0.025;0.798
0;0.14;0.833
0;0.268;0.857
0;0.394;0.878
0;0.502;0.898
0;0.517;0.912
0;0.503;0.914
0;0.432;0.915
0;0.333;0.916
0;0.214;0.916
0;0.088;0.914
0;0.001;0.908
1.2516;0;0.899
5.0958;0;0.886
6.4368;0;0.862
6.9732;0;0.837
5.9898;0;0.812
4.47;0;0.809
3.7548;0;0.817
0;0;0.836
0;0;0.876
0;0;0.899
0;0;0.906
0;0;0.905
0;0.011;0.897
0;0.09;0.89
0;0.214;0.883
0;0.399;0.875
0;0.558;0.857
0;0.58;0.827
0;0.561;0.824
0;0.495;0.83
0;0.372;0.834
0;0.228;0.825
0;0.085;0.81
0;0.001;0.801
1.2516;0;0.793
5.0958;0;0.785
6.4368;0;0.785
6.9732;0;0.784
5.9898;0;0.774
4.47;0;0.754
3.7548;0;0.737
0;0;0.724
0;0;0.748
0;0;0.763
0;0;0.763
0;0;0.767
0;0.013;0.764
0;0.082;0.761
0;0.166;0.761
0;0.251;0.763
0;0.309;0.756
0;0.355;0.744
0;0.382;0.744
0;0.388;0.748
0;0.298;0.749
0;0.185;0.74
0;0.064;0.732
0;0;0.739
1.2516;0;0.756
5.0958;0;0.778
6.4368;0;0.802
6.9732;0;0.823
5.9898;0;0.84
4.47;0;0.841
3.7548;0;0.833
0;0;0.841
0;0;0.871
0;0;0.876
0;0;0.868
0;0;0.867
0;0.013;0.876
0;0.089;0.889
0;0.221;0.901
0;0.373;0.905
0;0.474;0.903
0;0.544;0.893
0;0.549;0.89
0;0.516;0.893
0;0.418;0.893
0;0.268;0.89
0;0.097;0.887
0;0.001;0.897
1.2516;0;0.912
5.0958;0;0.916
6.4368;0;0.916
6.9732;0;0.915
5.9898;0;0.915
4.47;0;0.914
3.7548;0;0.91
0;0;0.89
0;0;0.879
0;0;0.894
0;0;0.909
0;0;0.914
0;0.032;0.916
0;0.185;0.915
0;0.351;0.912
0;0.489;0.908
0;0.566;0.904
0;0.566;0.896
0;0.535;0.893
0;0.478;0.898
0;0.345;0.902
0;0.203;0.904
0;0.098;0.899
0;0.002;0.893
1.2516;0;0.88
5.0958;0;0.873
6.4368;0;0.872
6.9732;0;0.88
5.9898;0;0.885
4.47;0;0.885
3.7548;0;0.882
0;0;0.888
0;0;0.887
0;0;0.879
0;0;0.872
0;0;0.867
0;0.052;0.863
0;0.255;0.852
0;0.448;0.836
0;0.585;0.818
0;0.694;0.801
0;0.726;0.789
0;0.696;0.779
0;0.655;0.76
0;0.556;0.724
0;0.392;0.69
0;0.159;0.657
0;0.003;0.62
1.2516;0;0.607
5.0958;0;0.598
6.4368;0;0.594
6.9732;0;0.571
5.9898;0;0.538
4.47;0;0.513
3.7548;0;0.464
0;0;0.424
0;0;0.422
0;0;0.435
0;0;0.448
0;0;0.442
0;0.025;0.415
0;0.183;0.377
0;0.384;0.348
0;0.51;0.313
0;0.659;0.273
0;0.654;0.249
0;0.626;0.227
0;0.584;0.214
0;0.451;0.2
0;0.279;0.19
0;0.132;0.205
0;0.003;0.219
1.2516;0;0.226
5.0958;0;0.216
6.4368;0;0.2
6.9732;0;0.18
5.9898;0;0.169
4.47;0;0.176
3.7548;0;0.188
0;0;0.211
0;0;0.302
0;0;0.41
0;0;0.455
0;0;0.415
0;0.034;0.371
0;0.164;0.388
0;0.277;0.479
0;0.38;0.583
0;0.521;0.626
0;0.551;0.61
0;0.505;0.621
0;0.401;0.645
0;0.314;0.679
0;0.197;0.692
0;0.084;0.678
0;0.001;0.661
1.2516;0;0.643
5.0958;0;0.617
6.4368;0;0.593
6.9732;0;0.586
5.9898;0;0.598
4.47;0;0.61
3.7548;0;0.628
0;0;0.664
0;0;0.693
0;0;0.687
0;0;0.666
0;0;0.643
0;0.056;0.621
0;0.253;0.6
0;0.459;0.59
0;0.618;0.601
0;0.682;0.616
0;0.72;0.608
0;0.742;0.616
0;0.683;0.658
0;0.57;0.681
0;0.398;0.704
0;0.173;0.724
0;0.005;0.731
1.2516;0;0.731
5.0958;0;0.726
6.4368;0;0.702
6.9732;0;0.647
5.9898;0;0.605
4.47;0;0.586
3.7548;0;0.592
0;0;0.691
0;0;0.789
0;0;0.843
0;0;0.862
0;0;0.838
0;0.051;0.797
0;0.234;0.765
0;0.348;0.75
0;0.47;0.749
0;0.593;0.742
0;0.718;0.71
0;0.695;0.705
0;0.642;0.692
0;0.498;0.683
0;0.314;0.703
0;0.101;0.75
0;0.002;0.805
1.2516;0;0.812
5.0958;0;0.802
6.4368;0;0.796
6.9732;0;0.787
5.9898;0;0.773
4.47;0;0.751
3.7548;0;0.718
0;0;0.723
0;0;0.769
0;0;0.773
0;0;0.771
0;0;0.757
0;0.055;0.718
0;0.27;0.661
0;0.473;0.613
0;0.62;0.57
0;0.698;0.531
0;0.726;0.502
0;0.646;0.506
0;0.572;0.516
0;0.512;0.513
0;0.328;0.487
0;0.126;0.452
0;0.003;0.448
1.2516;0;0.477
5.0958;0;0.487
6.4368;0;0.503
6.9732;0;0.523
5.9898;0;0.568
4.47;0;0.6
3.7548;0;0.605
0;0;0.647
0;0;0.72
0;0;0.77
0;0;0.802
0;0;0.822
0;0.043;0.83
0;0.235;0.823
0;0.442;0.807
0;0.619;0.783
0;0.725;0.751
0;0.766;0.741
0;0.75;0.761
0;0.682;0.789
0;0.556;0.807
0;0.396;0.82
0;0.19;0.836
0;0.008;0.846
1.2516;0;0.853
5.0958;0;0.852
6.4368;0;0.845
6.9732;0;0.844
5.9898;0;0.85
4.47;0;0.857
3.7548;0;0.848
0;0;0.871
0;0;0.908
0;0;0.916
0;0;0.915
0;0;0.909
0;0.042;0.903
0;0.234;0.903
0;0.413;0.906
0;0.506;0.91
0;0.537;0.913
0;0.539;0.915
0;0.514;0.915
0;0.424;0.914
0;0.281;0.908
0;0.147;0.895
0;0.045;0.887
0;0;0.898
1.2516;0;0.909
5.0958;0;0.913
6.4368;0;0.913
6.9732;0;0.915
5.9898;0;0.915
4.47;0;0.915
3.7548;0;0.903
0;0;0.861
0;0;0.768
0;0;0.689
0;0;0.63
0;0;0.652
0;0.013;0.735
0;0.066;0.798
0;0.131;0.816
0;0.193;0.773
0;0.307;0.658
0;0.426;0.535
0;0.489;0.419
0;0.451;0.319
0;0.283;0.236
0;0.164;0.171
0;0.057;0.123
0;0;0.092
1.25636;0;0.067
5.11518;0;0.047
6.46128;0;0.033
6.99972;0;0.023
6.01258;0;0.014
4.487;0;0.009
3.76908;0;0.008
0;0;0.011
0;0;0.016
0;0;0.022
0;0;0.024
0;0;0.025
0;0.025;0.028
0;0.126;0.031
0;0.246;0.031
0;0.365;0.026
0;0.48;0.019
0;0.553;0.015
0;0.567;0.015
0;0.502;0.017
0;0.386;0.019
0;0.232;0.02
0;0.088;0.02
0;0.002;0.021
1.25636;0;0.019
5.11518;0;0.014
6.46128;0;0.008
6.99972;0;0.004
6.01258;0;0.002
4.487;0;0.001
3.76908;0;0
0;0;0
0;0;0
0;0;0
0;0;0.001
0;0;0
0;0.067;0.001
0;0.278;0.001
0;0.488;0.001
0;0.629;0.007
0;0.707;0.015
0;0.734;0.022
0;0.717;0.029
0;0.653;0.04
0;0.539;0.051
0;0.373;0.059
0;0.153;0.061
0;0.004;0.061
1.25636;0;0.057
5.11518;0;0.047
6.46128;0;0.041
6.99972;0;0.04
6.01258;0;0.044
4.487;0;0.048
3.76908;0;0.052
0;0;0.065
0;0;0.091
0;0;0.113
0;0;0.122
0;0;0.123
0;0.058;0.123
0;0.247;0.122
0;0.428;0.121
0;0.549;0.114
0;0.691;0.108
0;0.723;0.115
0;0.695;0.13
0;0.639;0.143
0;0.53;0.149
0;0.376;0.157
0;0.149;0.162
0;0.006;0.159
1.25636;0;0.151
5.11518;0;0.145
6.46128;0;0.142
6.99972;0;0.134
6.01258;0;0.133
4.487;0;0.135
3.76908;0;0.144
0;0;0.215
0;0;0.299
0;0;0.326
0;0;0.329
0;0;0.327
0;0.069;0.322
0;0.271;0.319
0;0.453;0.323
0;0.571;0.336
0;0.695;0.345
0;0.717;0.333
0;0.72;0.319
0;0.663;0.317
0;0.55;0.32
0;0.374;0.313
0;0.171;0.301
0;0.007;0.284
1.25636;0;0.283
5.11518;0;0.277
6.46128;0;0.272
6.99972;0;0.271
6.01258;0;0.276
4.487;0;0.29
3.76908;0;0.299
0;0;0.355
0;0;0.404
0;0;0.394
0;0;0.366
0;0;0.346
0;0.062;0.324
0;0.254;0.297
0;0.472;0.267
0;0.629;0.239
0;0.719;0.214
0;0.755;0.188
0;0.742;0.177
0;0.681;0.172
0;0.568;0.163
0;0.4;0.141
0;0.186;0.13
0;0.008;0.122
1.25636;0;0.114
5.11518;0;0.109
6.46128;0;0.115
6.99972;0;0.123
6.01258;0;0.123
4.487;0;0.129
3.76908;0;0.132
0;0;0.163
0;0;0.231
0;0;0.275
0;0;0.299
0;0;0.288
0;0.072;0.239
0;0.28;0.172
0;0.458;0.12
0;0.619;0.098
0;0.715;0.1
0;0.75;0.129
0;0.736;0.155
0;0.672;0.154
0;0.568;0.123
0;0.403;0.101
0;0.182;0.113
0;0.007;0.13
1.25636;0;0.148
5.11518;0;0.145
6.46128;0;0.134
6.99972;0;0.131
6.01258;0;0.129
4.487;0;0.137
3.76908;0;0.153
0;0;0.2
0;0;0.273
0;0;0.319
0;0;0.336
0;0;0.333
0;0.055;0.308
0;0.233;0.279
0;0.421;0.253
0;0.577;0.234
0;0.665;0.213
0;0.702;0.2
0;0.696;0.19
0;0.649;0.189
0;0.558;0.192
0;0.393;0.198
0;0.174;0.212
0;0.008;0.22
1.25636;0;0.222
5.11518;0;0.227
6.46128;0;0.232
6.99972;0;0.24
6.01258;0;0.243
4.487;0;0.251
3.76908;0;0.264
0;0;0.317
0;0;0.396
0;0;0.412
0;0;0.407
0;0;0.39
0;0.043;0.371
0;0.183;0.345
0;0.33;0.317
0;0.458;0.282
0;0.529;0.248
0;0.571;0.224
0;0.621;0.208
0;0.589;0.187
0;0.481;0.163
0;0.332;0.148
0;0.141;0.147
0;0.005;0.135
1.25636;0;0.122
5.11518;0;0.111
6.46128;0;0.108
6.99972;0;0.103
6.01258;0;0.097
4.487;0;0.09
3.76908;0;0.085
0;0;0.089
0;0;0.105
0;0;0.111
0;0;0.111
0;0;0.113
0;0.029;0.104
0;0.157;0.09
0;0.305;0.077
0;0.42;0.068
0;0.472;0.067
0;0.49;0.088
0;0.487;0.117
0;0.448;0.14
0;0.37;0.154
0;0.246;0.166
0;0.106;0.179
0;0.004;0.186
1.25636;0;0.189
5.11518;0;0.192
6.46128;0;0.201
6.99972;0;0.213
6.01258;0;0.222
4.487;0;0.234
3.76908;0;0.263
0;0;0.368
0;0;0.46
0;0;0.484
0;0;0.475
0;0;0.447
0;0.042;0.422
0;0.204;0.409
0;0.36;0.41
0;0.486;0.422
0;0.551;0.431
0;0.572;0.443
0;0.55;0.485
0;0.484;0.535
0;0.387;0.588
0;0.26;0.637
0;0.103;0.663
0;0.003;0.663
1.25636;0;0.637
5.11518;0;0.601
6.46128;0;0.571
6.99972;0;0.548
6.01258;0;0.538
4.487;0;0.561
3.76908;0;0.607
0;0;0.712
0;0;0.787
0;0;0.819
0;0;0.833
0;0;0.825
0;0.054;0.796
0;0.221;0.767
0;0.415;0.744
0;0.569;0.723
0;0.643;0.68
0;0.687;0.617
0;0.669;0.583
0;0.578;0.573
0;0.452;0.559
0;0.312;0.548
0;0.137;0.553
0;0.005;0.559
1.25636;0;0.539
5.11518;0;0.502
6.46128;0;0.467
6.99972;0;0.438
6.01258;0;0.41
4.487;0;0.396
3.76908;0;0.396
0;0;0.413
0;0;0.428
0;0;0.417
0;0;0.394
0;0;0.363
0;0.067;0.328
0;0.272;0.295
0;0.466;0.269
0;0.631;0.244
0;0.714;0.216
0;0.729;0.193
0;0.706;0.18
0;0.643;0.172
0;0.529;0.165
0;0.366;0.16
0;0.164;0.157
0;0.008;0.162
1.25636;0;0.168
5.11518;0;0.176
6.46128;0;0.187
6.99972;0;0.2
6.01258;0;0.213
4.487;0;0.231
3.76908;0;0.253
0;0;0.296
0;0;0.346
0;0;0.385
0;0;0.405
0;0;0.407
0;0.09;0.391
0;0.319;0.37
0;0.515;0.349
0;0.655;0.333
0;0.741;0.321
0;0.776;0.332
0;0.763;0.355
0;0.7;0.373
0;0.585;0.379
0;0.416;0.373
0;0.197;0.375
0;0.012;0.369
1.25636;0;0.357
5.11518;0;0.347
6.46128;0;0.336
6.99972;0;0.324
6.01258;0;0.333
4.487;0;0.36
3.76908;0;0.391
0;0;0.444
0;0;0.506
0;0;0.545
0;0;0.566
0;0;0.561
0;0.083;0.531
0;0.294;0.508
0;0.493;0.496
0;0.647;0.495
0;0.738;0.493
0;0.748;0.481
0;0.761;0.49
0;0.698;0.508
0;0.577;0.523
0;0.408;0.518
0;0.193;0.507
0;0.012;0.484
1.25636;0;0.448
5.11518;0;0.413
6.46128;0;0.394
6.99972;0;0.395
6.01258;0;0.412
4.487;0;0.444
3.76908;0;0.483
0;0;0.562
0;0;0.636
0;0;0.677
0;0;0.697
0;0;0.703
0;0.079;0.691
0;0.288;0.673
0;0.486;0.651
0;0.632;0.633
0;0.704;0.605
0;0.748;0.548
0;0.738;0.515
0;0.677;0.506
0;0.554;0.496
0;0.377;0.486
0;0.169;0.474
0;0.007;0.457
1.25636;0;0.455
5.11518;0;0.461
6.46128;0;0.47
6.99972;0;0.477
6.01258;0;0.488
4.487;0;0.49
3.76908;0;0.491
0;0;0.54
0;0;0.566
0;0;0.552
0;0;0.526
0;0;0.503
0;0.079;0.48
0;0.286;0.461
0;0.489;0.446
0;0.635;0.432
0;0.721;0.405
0;0.753;0.363
0;0.741;0.33
0;0.677;0.318
0;0.563;0.316
0;0.382;0.321
0;0.16;0.321
0;0.01;0.319
1.25636;0;0.317
5.11518;0;0.315
6.46128;0;0.31
6.99972;0;0.291
6.01258;0;0.265
4.487;0;0.245
3.76908;0;0.236
0;0;0.255
0;0;0.282
0;0;0.304
0;0;0.316
0;0;0.31
0;0.069;0.287
0;0.27;0.252
0;0.484;0.225
0;0.63;0.212
0;0.736;0.21
0;0.773;0.216
0;0.761;0.222
0;0.702;0.221
0;0.592;0.228
0;0.404;0.23
0;0.177;0.205
0;0.011;0.168
1.25636;0;0.127
5.11518;0;0.097
6.46128;0;0.086
6.99972;0;0.095
6.01258;0;0.114
4.487;0;0.133
3.76908;0;0.143
0;0;0.144
0;0;0.147
0;0;0.146
0;0;0.145
0;0;0.15
0;0.102;0.158
0;0.333;0.166
0;0.527;0.17
0;0.663;0.174
0;0.749;0.183
0;0.786;0.196
0;0.774;0.194
0;0.712;0.169
0;0.598;0.147
0;0.428;0.155
0;0.209;0.167
0;0.016;0.163
1.25636;0;0.159
5.11518;0;0.163
6.46128;0;0.163
6.99972;0;0.163
6.01258;0;0.168
4.487;0;0.172
3.76908;0;0.166
0;0;0.174
0;0;0.193
0;0;0.2
0;0;0.198
0;0;0.205
0;0.079;0.223
0;0.27;0.246
0;0.447;0.277
0;0.62;0.304
0;0.72;0.31
0;0.783;0.338
0;0.764;0.404
0;0.709;0.485
0;0.597;0.558
0;0.427;0.606
0;0.208;0.632
0;0.015;0.607
1.25636;0;0.572
5.11518;0;0.526
6.46128;0;0.481
6.99972;0;0.442
6.01258;0;0.4
4.487;0;0.349
3.76908;0;0.295
0;0;0.29
0;0;0.323
0;0;0.345
0;0;0.369
0;0;0.462
0;0.072;0.589
0;0.235;0.691
0;0.385;0.767
0;0.469;0.811
0;0.472;0.826
0;0.454;0.81
0;0.432;0.801
0;0.378;0.812
0;0.265;0.812
0;0.167;0.802
0;0.072;0.8
0;0.002;0.812
1.25636;0;0.838
5.11518;0;0.856
6.46128;0;0.865
6.99972;0;0.86
6.01258;0;0.856
4.487;0;0.846
3.76908;0;0.831
0;0;0.857
0;0;0.873
0;0;0.87
0;0;0.85
0;0;0.827
0;0.05;0.805
0;0.2;0.773
0;0.322;0.737
0;0.464;0.692
0;0.592;0.632
0;0.62;0.558
0;0.645;0.528
0;0.579;0.545
0;0.459;0.577
0;0.318;0.611
0;0.125;0.649
0;0.007;0.68
1.25636;0;0.702
5.11518;0;0.717
6.46128;0;0.723
6.99972;0;0.722
6.01258;0;0.72
4.487;0;0.711
3.76908;0;0.705
0;0;0.775
0;0;0.833
0;0;0.858
0;0;0.866
0;0;0.87
0;0.054;0.869
0;0.199;0.861
0;0.345;0.853
0;0.479;0.835
0;0.546;0.799
0;0.609;0.742
0;0.544;0.712
0;0.508;0.705
0;0.44;0.7
0;0.293;0.693
0;0.144;0.692
0;0.01;0.708
1.25636;0;0.706
5.11518;0;0.694
6.46128;0;0.683
6.99972;0;0.67
6.01258;0;0.666
4.487;0;0.661
3.76908;0;0.666
0;0;0.731
0;0;0.798
0;0;0.814
0;0;0.808
0;0;0.787
0;0.063;0.744
0;0.242;0.685
0;0.419;0.617
0;0.56;0.548
0;0.662;0.478
0;0.715;0.419
0;0.728;0.397
0;0.686;0.397
0;0.581;0.397
0;0.416;0.385
0;0.192;0.356
0;0.015;0.322
1.25636;0;0.271
5.11518;0;0.213
6.46128;0;0.163
6.99972;0;0.141
6.01258;0;0.143
4.487;0;0.139
3.76908;0;0.122
0;0;0.135
0;0;0.188
0;0;0.243
0;0;0.28
0;0;0.33
0;0.067;0.392
0;0.257;0.45
0;0.442;0.506
0;0.553;0.558
0;0.661;0.57
0;0.677;0.531
0;0.703;0.483
0;0.627;0.479
0;0.536;0.493
0;0.33;0.506
0;0.138;0.513
0;0.01;0.551
1.25636;0;0.59
5.11518;0;0.605
6.46128;0;0.598
6.99972;0;0.585
6.01258;0;0.564
4.487;0;0.538
3.76908;0;0.502
0;0;0.518
0;0;0.54
0;0;0.52
0;0;0.496
0;0;0.479
0;0.078;0.464
0;0.279;0.442
0;0.476;0.422
0;0.631;0.412
0;0.73;0.397
0;0.763;0.378
0;0.756;0.373
0;0.67;0.366
0;0.552;0.37
0;0.389;0.358
0;0.184;0.372
0;0.013;0.376
1.25636;0;0.361
5.11518;0;0.35
6.46128;0;0.357
6.99972;0;0.372
6.01258;0;0.373
4.487;0;0.387
3.76908;0;0.409
0;0;0.482
0;0;0.565
0;0;0.607
0;0;0.636
0;0;0.661
0;0.079;0.672
0;0.26;0.661
0;0.44;0.642
0;0.603;0.622
0;0.718;0.587
0;0.771;0.523
0;0.759;0.478
0;0.698;0.477
0;0.584;0.5
0;0.409;0.528
0;0.17;0.558
0;0.012;0.577
1.25636;0;0.587
5.11518;0;0.592
6.46128;0;0.588
6.99972;0;0.575
6.01258;0;0.559
4.487;0;0.522
3.76908;0;0.494
0;0;0.538
0;0;0.59
0;0;0.592
0;0;0.568
0;0;0.537
0;0.087;0.515
0;0.266;0.496
0;0.476;0.477
0;0.65;0.458
0;0.745;0.422
0;0.779;0.367
0;0.771;0.319
0;0.71;0.289
0;0.596;0.262
0;0.427;0.233
0;0.212;0.21
0;0.017;0.202
1.25636;0;0.197
5.11518;0;0.181
6.46128;0;0.172
6.99972;0;0.164
6.01258;0;0.164
4.487;0;0.169
3.76908;0;0.172
0;0;0.204
0;0;0.233
0;0;0.249
0;0;0.264
0;0;0.286
0;0.09;0.302
0;0.299;0.302
0;0.491;0.285
0;0.636;0.26
0;0.72;0.237
0;0.755;0.218
