,power,Wind,GridAvailability,SolarGen
88,11.0,0.38,1,0.027000000000000003
89,10.0,0.35,1,0.0
90,11.0,0.341,1,0.0
91,11.5,0.315,0,0.0
92,10.0,0.294,0,0.0
93,9.5,0.271,0,0.0
94,6.0,0.264,1,0.0
95,0.0,0.26,1,0.0
96,0.0,0.26,0,0.0
97,0.0,0.263,0,0.0
98,0.0,0.265,1,0.0
99,0.0,0.271,1,0.0
100,0.0,0.275,1,0.0
101,0.0,0.268,0,0.0
102,4.0,0.262,1,0.0
103,4.0,0.256,1,0.11900000000000001
104,8.0,0.335,1,0.35600000000000004
105,4.0,0.395,1,0.561
106,1.5,0.409,0,0.691
107,1.5,0.425,1,0.758
108,1.5,0.451,1,0.765
109,6.0,0.48200000000000004,0,0.715
110,7.5,0.513,0,0.603
111,7.5,0.52,1,0.41200000000000003
112,7.5,0.475,1,0.168
113,15.0,0.389,1,0.002
114,26.5,0.342,0,0.0
115,11.5,0.318,0,0.0
116,11.0,0.284,1,0.0
117,9.5,0.257,1,0.0
118,6.0,0.243,1,0.0
119,0.0,0.28800000000000003,0,0.0
120,3.0,0.307,1,0.0
121,1.5,0.307,1,0.0
122,0.0,0.298,0,0.0
123,2.0,0.315,1,0.0
124,0.0,0.302,0,0.0
125,0.0,0.29100000000000004,1,0.0
126,7.0,0.27399999999999997,1,0.0
127,8.0,0.235,1,0.11599999999999999
128,4.5,0.249,0,0.35100000000000003
129,3.0,0.267,0,0.55
130,3.0,0.256,0,0.677
131,5.5,0.253,0,0.741
132,4.0,0.262,0,0.731
133,7.5,0.285,1,0.68
134,16.5,0.326,1,0.568
135,7.5,0.36700000000000005,0,0.35100000000000003
136,0.0,0.386,1,0.128
137,9.0,0.40299999999999997,1,0.001
138,22.0,0.408,1,0.0
139,8.0,0.40399999999999997,1,0.0
140,9.5,0.391,1,0.0
141,8.5,0.382,0,0.0
142,8.0,0.374,1,0.0
143,0.0,0.377,1,0.0
144,0.0,0.397,1,0.0
145,0.0,0.39899999999999997,0,0.0
146,0.0,0.40399999999999997,1,0.0
147,0.0,0.40399999999999997,1,0.0
148,0.0,0.395,1,0.0
149,0.0,0.39299999999999996,1,0.0
150,4.0,0.391,1,0.0
151,4.5,0.379,0,0.09699999999999999
152,6.0,0.419,1,0.317
153,4.0,0.461,1,0.498
154,2.0,0.511,0,0.626
155,8.5,0.57,1,0.6920000000000001
156,1.5,0.616,1,0.726
157,7.5,0.638,1,0.674
158,18.0,0.652,1,0.564
159,15.0,0.654,0,0.38299999999999995
160,13.5,0.639,1,0.15
161,6.0,0.584,1,0.002
162,7.0,0.527,1,0.0
163,11.0,0.507,1,0.0
164,11.0,0.494,0,0.0
165,8.0,0.498,1,0.0
166,5.0,0.493,1,0.0
167,2.0,0.498,0,0.0
0,0.0,0.847,1,0.0
1,0.0,0.794,1,0.0
2,0.0,0.752,1,0.0
3,0.0,0.718,1,0.0
4,0.0,0.6890000000000001,1,0.0
5,0.0,0.664,1,0.0
6,3.0,0.649,1,0.0
7,7.0,0.627,1,0.122
8,4.0,0.628,1,0.359
9,0.0,0.6509999999999999,0,0.556
10,0.0,0.71,0,0.6779999999999999
11,0.0,0.805,1,0.7390000000000001
12,19.0,0.8909999999999999,1,0.735
13,15.5,0.941,1,0.6809999999999999
14,30.0,0.966,0,0.5670000000000001
15,12.0,0.972,1,0.364
16,7.0,0.972,1,0.139
17,6.0,0.97,1,0.001
18,10.5,0.971,1,0.0
19,9.5,0.971,1,0.0
20,14.0,0.977,1,0.0
21,8.0,0.982,1,0.0
22,8.0,0.983,1,0.0
23,0.0,0.9840000000000001,1,0.0
24,0.0,0.983,1,0.0
25,0.0,0.98,1,0.0
26,2.0,0.975,1,0.0
27,0.0,0.968,1,0.0
28,2.0,0.961,1,0.0
29,2.0,0.948,0,0.0
30,5.0,0.934,1,0.0
31,4.0,0.9329999999999999,1,0.128
32,3.0,0.948,1,0.381
33,2.0,0.9620000000000001,1,0.574
34,2.0,0.968,0,0.696
35,0.0,0.973,1,0.757
36,16.5,0.972,1,0.736
37,18.0,0.965,1,0.6829999999999999
38,18.0,0.9540000000000001,1,0.57
39,3.0,0.943,1,0.39
40,12.0,0.924,1,0.155
41,12.0,0.889,1,0.002
42,13.0,0.847,1,0.0
43,13.0,0.82,0,0.0
44,7.5,0.807,0,0.0
45,6.0,0.8029999999999999,1,0.0
46,8.0,0.797,1,0.0
47,0.0,0.8,1,0.0
48,0.0,0.82,1,0.0
49,0.0,0.8270000000000001,0,0.0
50,0.0,0.8320000000000001,1,0.0
51,0.0,0.835,1,0.0
52,0.0,0.836,1,0.0
53,0.0,0.8220000000000001,1,0.0
54,6.0,0.797,1,0.0
55,8.0,0.7829999999999999,1,0.136
56,7.0,0.83,1,0.387
57,1.5,0.856,1,0.581
58,0.0,0.8490000000000001,0,0.701
59,1.5,0.84,0,0.758
60,10.5,0.8290000000000001,1,0.754
61,15.0,0.8170000000000001,1,0.7
62,0.0,0.8079999999999999,0,0.586
63,1.5,0.8009999999999999,1,0.402
64,6.0,0.7829999999999999,1,0.165
65,16.5,0.75,1,0.003
66,19.0,0.7240000000000001,1,0.0
67,16.0,0.713,1,0.0
68,7.5,0.705,1,0.0
69,13.5,0.6970000000000001,0,0.0
70,8.0,0.674,1,0.0
71,0.0,0.64,1,0.0
72,2.0,0.605,1,0.0
73,2.0,0.575,1,0.0
74,0.0,0.5539999999999999,1,0.0
75,0.0,0.5329999999999999,0,0.0
76,0.0,0.515,0,0.0
77,0.0,0.45899999999999996,0,0.0
78,5.0,0.413,1,0.0
79,8.0,0.391,1,0.126
80,7.0,0.49,1,0.36700000000000005
81,0.0,0.541,0,0.5539999999999999
82,1.5,0.521,1,0.672
83,3.0,0.49200000000000005,1,0.733
84,7.5,0.465,1,0.7340000000000001
85,15.0,0.44299999999999995,0,0.6759999999999999
86,19.5,0.428,1,0.563
87,15.0,0.41,1,0.39
88,11.0,0.38,1,0.155
89,10.0,0.35,1,0.001
90,11.0,0.341,1,0.0
91,11.5,0.315,0,0.0
92,10.0,0.294,1,0.0
93,9.5,0.271,1,0.0
94,6.0,0.264,1,0.0
95,0.0,0.26,1,0.0
96,0.0,0.26,0,0.0
97,0.0,0.263,1,0.0
98,0.0,0.265,1,0.0
99,0.0,0.271,1,0.0
100,0.0,0.275,1,0.0
101,0.0,0.268,0,0.0
102,4.0,0.262,1,0.0
103,4.0,0.256,0,0.10400000000000001
104,8.0,0.335,1,0.33899999999999997
105,4.0,0.395,1,0.575
106,1.5,0.409,1,0.6970000000000001
107,1.5,0.425,1,0.757
108,1.5,0.451,1,0.7659999999999999
109,6.0,0.48200000000000004,0,0.7170000000000001
110,7.5,0.513,1,0.607
111,7.5,0.52,1,0.43700000000000006
112,7.5,0.475,0,0.196
113,15.0,0.389,1,0.005
114,26.5,0.342,0,0.0
115,11.5,0.318,1,0.0
116,11.0,0.284,0,0.0
117,9.5,0.257,1,0.0
118,6.0,0.243,1,0.0
119,0.0,0.28800000000000003,1,0.0
120,3.0,0.307,1,0.0
121,1.5,0.307,1,0.0
122,0.0,0.298,0,0.0
123,2.0,0.315,1,0.0
124,0.0,0.302,1,0.0
125,0.0,0.29100000000000004,1,0.0
126,7.0,0.27399999999999997,1,0.0
127,8.0,0.235,0,0.155
128,4.5,0.249,1,0.41200000000000003
129,3.0,0.267,1,0.604
130,3.0,0.256,1,0.7240000000000001
131,5.5,0.253,0,0.7829999999999999
132,4.0,0.262,1,0.782
133,7.5,0.285,0,0.732
134,16.5,0.326,1,0.624
135,7.5,0.36700000000000005,1,0.44299999999999995
136,0.0,0.386,0,0.201
137,9.0,0.40299999999999997,1,0.005
138,22.0,0.408,1,0.0
139,8.0,0.40399999999999997,1,0.0
140,9.5,0.391,0,0.0
141,8.5,0.382,1,0.0
142,8.0,0.374,1,0.0
143,0.0,0.377,1,0.0
144,0.0,0.397,1,0.0
145,0.0,0.39899999999999997,0,0.0
146,0.0,0.40399999999999997,1,0.0
147,0.0,0.40399999999999997,1,0.0
148,0.0,0.395,1,0.0
149,0.0,0.39299999999999996,1,0.0
150,4.0,0.391,1,0.0
151,4.5,0.379,1,0.10800000000000001
152,6.0,0.419,1,0.386
153,4.0,0.461,1,0.545
154,2.0,0.511,0,0.622
155,8.5,0.57,0,0.6629999999999999
156,1.5,0.616,0,0.731
157,7.5,0.638,1,0.674
158,18.0,0.652,1,0.521
159,15.0,0.654,0,0.34299999999999997
160,13.5,0.639,1,0.154
161,6.0,0.584,1,0.003
162,7.0,0.527,1,0.0
163,11.0,0.507,1,0.0
164,11.0,0.494,0,0.0
165,8.0,0.498,1,0.0
166,5.0,0.493,1,0.0
167,2.0,0.498,1,0.0
0,0.0,0.847,1,0.0
1,0.0,0.794,0,0.0
2,0.0,0.752,1,0.0
3,0.0,0.718,1,0.0
4,0.0,0.6890000000000001,0,0.0
5,0.0,0.664,1,0.0
6,3.0,0.649,1,0.0
7,7.0,0.627,1,0.11199999999999999
8,4.0,0.628,0,0.32
9,0.0,0.6509999999999999,1,0.48
10,0.0,0.71,1,0.619
11,0.0,0.805,1,0.6609999999999999
12,19.0,0.8909999999999999,0,0.63
13,15.5,0.941,1,0.5920000000000001
14,30.0,0.966,1,0.539
15,12.0,0.972,0,0.368
16,7.0,0.972,1,0.149
17,6.0,0.97,1,0.003
18,10.5,0.971,1,0.0
19,9.5,0.971,1,0.0
20,14.0,0.977,1,0.0
21,8.0,0.982,0,0.0
22,8.0,0.983,1,0.0
23,0.0,0.9840000000000001,1,0.0
24,0.0,0.983,0,0.0
25,0.0,0.98,1,0.0
26,2.0,0.975,1,0.0
27,0.0,0.968,1,0.0
28,2.0,0.961,0,0.0
29,2.0,0.948,1,0.0
30,5.0,0.934,1,0.0
31,4.0,0.9329999999999999,1,0.077
32,3.0,0.948,1,0.28
